!Num,Nombre,Data,#Uni,GerMin,GerMax,ICP,IH,CVaria,CTransp,CoefE
260.0000,Mirpurkhas,2020-07-01,1,0,26.0000,550.0000,550.0000,0,0,???
261.0000,Mehran,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
261.0000,Mehran,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
262.0000,Kashmir,2020-07-01,1,0,40.0000,550.0000,550.0000,0,0,???
262.0000,Kashmir,2020-07-01,1,0,40.0000,550.0000,550.0000,0,0,???
263.0000,Alliance,2020-07-01,1,0,30.0000,550.0000,550.0000,0,0,???
263.0000,Alliance,2020-07-01,1,0,30.0000,550.0000,550.0000,0,0,???
264.0000,Habibsgrmill,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
264.0000,Habibsgrmill,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
265.0000,Sadiqabad,2020-07-01,1,0,45.0000,550.0000,550.0000,0,0,???
265.0000,Sadiqabad,2020-07-01,1,0,45.0000,550.0000,550.0000,0,0,???
266.0000,Gotki,2020-07-01,1,0,45.0000,550.0000,550.0000,0,0,???
266.0000,Gotki,2020-07-01,1,0,45.0000,550.0000,550.0000,0,0,???
267.0000,HbibulahEngy,2019-01-01,1,0,,550.0000,550.0000,0,0,???
267.0000,HbibulahEngy,2019-01-01,1,0,,550.0000,550.0000,0,0,???
269.0000,G1KtriB3HSD,2019-01-01,1,0,,550.0000,550.0000,0,0,???
269.0000,G1KtriB3HSD,2019-01-01,1,0,,550.0000,550.0000,0,0,???
270.0000,G1KtriB4HSD,2019-01-01,1,0,0.0000,550.0000,550.0000,0,0,???
270.0000,G1KtriB4HSD,2019-01-01,1,0,0.0000,550.0000,550.0000,0,0,???
86.0000,Gawadar Coal,2022-06-01,1,0,300.0000,550.0000,550.0000,0,0,???
86.0000,Gawadar Coal,2022-06-01,1,0,300.0000,550.0000,550.0000,0,0,???
296.0000,JMSH4_B2_Mix,2019-01-01,1,0,,550.0000,550.0000,0,0,???
296.0000,JMSH4_B2_Mix,2019-01-01,1,0,,550.0000,550.0000,0,0,???
297.0000,GUDDU_B3_MIX,2019-01-01,1,0,,550.0000,550.0000,0,0,???
297.0000,GUDDU_B3_MIX,2019-01-01,1,0,,550.0000,550.0000,0,0,???
